# SOURCE: Derived from wind_turbines-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily wind energy output per turbine for small/medium/large distributed-scale turbines
# UNITS: date=YYYY-MM-DD, small_turbine_kwh, medium_turbine_kwh, large_turbine_kwh=kWh/turbine/day
# LOGIC: Wind speed extrapolated from 10m to hub height using power law (alpha=0.14). Power curve: P = P_rated * (v^3 - v_cin^3) / (v_rated^3 - v_cin^3) for v_cin <= v <= v_rated; P_rated for v_rated < v <= v_cout; 0 otherwise. Expected power computed by numerical integration of power curve over Rayleigh distribution of sub-daily wind speeds (corrects Jensen's inequality bias from using daily mean directly). System losses (availability, electrical, dust/soiling, mechanical) applied as per-turbine derating.
# DEPENDENCIES: data/energy/wind_turbines-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Power-law wind shear exponent 0.14 for open coastal terrain. (2) Sub-daily wind speed variability modeled via Rayleigh distribution (sigma = v_mean * sqrt(2/pi)). (3) No air density correction for altitude/temperature.
# TURBINES: small=bergey_excel_10 (10kW, hub 30m, rotor 7.0m, losses 12%); medium=eocycle_eo25 (25kW, hub 30m, rotor 12.6m, losses 10%); large=endurance_e3120 (50kW, hub 37m, rotor 19.2m, losses 10%)
date,small_turbine_kwh,medium_turbine_kwh,large_turbine_kwh
2010-12-28,32.96,79.93,214.72
2010-12-29,64.84,161.85,401.65
2010-12-30,107.08,270.83,617.96
2010-12-31,95.25,240.3,560.35
2011-01-01,27.7,66.49,181.02
2011-01-02,4.44,8.54,22.82
2011-01-03,4.01,7.56,20.07
2011-01-04,68.8,172.06,423.24
2011-01-05,63.2,157.61,392.6
2011-01-06,38.97,95.31,252.06
2011-01-07,84.64,212.91,506.72
2011-01-08,102.01,257.75,593.56
2011-01-09,52.53,130.15,332.49
2011-01-10,32.1,77.72,209.25
2011-01-11,10.26,22.49,62.42
2011-01-12,2.09,3.4,8.6
2011-01-13,7.09,14.77,40.48
2011-01-14,70.42,176.23,431.97
2011-01-15,67.64,169.07,416.95
2011-01-16,36.26,88.38,235.39
2011-01-17,7.29,15.25,41.82
2011-01-18,62.02,154.58,386.08
2011-01-19,5.98,12.12,32.94
2011-01-20,5.55,11.11,30.06
2011-01-21,10.38,22.79,63.27
2011-01-22,19.92,46.69,129.28
2011-01-23,17.22,39.87,110.81
2011-01-24,38.97,95.31,252.06
2011-01-25,53.48,132.59,337.95
2011-01-26,24.15,57.42,157.63
2011-01-27,0.66,0.75,1.71
2011-01-28,3.61,6.65,17.54
2011-01-29,9.78,21.32,59.08
2011-01-30,98.32,248.21,575.51
2011-01-31,82.93,208.49,497.89
2011-02-01,9.67,21.03,58.26
2011-02-02,89.45,225.33,531.26
2011-02-03,17.55,40.69,113.05
2011-02-04,16.1,37.05,103.1
2011-02-05,79.66,200.06,480.93
2011-02-06,7.39,15.49,42.5
2011-02-07,53.71,133.2,339.31
2011-02-08,100.92,254.93,588.25
2011-02-09,61.31,152.75,382.15
2011-02-10,96.99,244.78,568.95
2011-02-11,98.13,247.73,574.58
2011-02-12,38.97,95.31,252.06
2011-02-13,91.49,230.58,541.52
2011-02-14,42.41,104.14,272.97
2011-02-15,22.45,53.1,146.31
2011-02-16,108.41,274.28,624.31
2011-02-17,35.37,86.1,229.85
2011-02-18,0.98,1.28,3.01
2011-02-19,4.98,9.77,26.29
2011-02-20,102.55,259.14,596.18
2011-02-21,63.67,158.82,395.19
2011-02-22,8.98,19.34,53.48
2011-02-23,5.47,10.91,29.5
2011-02-24,5.55,11.11,30.06
2011-02-25,74.53,186.82,453.92
2011-02-26,97.56,246.26,571.78
2011-02-27,59.89,149.09,374.23
2011-02-28,77.0,193.2,466.99
2011-03-01,25.11,59.88,164.04
2011-03-02,27.1,64.94,177.06
2011-03-03,32.96,79.93,214.72
2011-03-04,34.27,83.27,222.96
2011-03-05,39.65,97.06,256.24
2011-03-06,1.1,1.5,3.57
2011-03-07,77.23,193.78,468.16
2011-03-08,53.48,132.59,337.95
2011-03-09,98.7,249.19,577.36
2011-03-10,120.39,305.25,679.68
2011-03-11,92.49,233.17,546.56
2011-03-12,109.07,275.98,627.43
2011-03-13,37.16,90.67,240.93
2011-03-14,13.99,31.76,88.44
2011-03-15,10.63,23.4,64.98
2011-03-16,12.04,26.9,74.86
2011-03-17,8.21,17.48,48.18
2011-03-18,9.78,21.32,59.08
2011-03-19,0.53,0.56,1.23
2011-03-20,4.98,9.77,26.29
2011-03-21,41.49,101.77,267.39
2011-03-22,122.78,311.44,690.33
2011-03-23,95.25,240.3,560.35
2011-03-24,117.14,296.84,664.98
2011-03-25,105.71,267.31,611.44
2011-03-26,23.57,55.96,153.83
2011-03-27,45.91,113.13,293.86
2011-03-28,98.7,249.19,577.36
2011-03-29,49.92,123.43,317.39
2011-03-30,53.0,131.37,335.22
2011-03-31,14.58,33.22,92.53
2011-04-01,2.05,3.3,8.34
2011-04-02,101.1,255.4,589.14
2011-04-03,88.63,223.2,527.08
2011-04-04,97.94,247.24,573.65
2011-04-05,62.25,155.18,387.39
2011-04-06,44.97,110.72,288.29
2011-04-07,6.34,12.97,35.35
2011-04-08,8.0,16.97,46.72
2011-04-09,73.17,183.31,446.68
2011-04-10,16.26,37.45,104.19
2011-04-11,13.85,31.39,87.44
2011-04-12,91.49,230.58,541.52
2011-04-13,73.85,185.07,450.31
2011-04-14,60.6,150.92,378.2
2011-04-15,25.5,60.88,166.62
2011-04-16,19.57,45.81,126.91
2011-04-17,14.28,32.49,90.47
2011-04-18,15.79,36.27,100.95
2011-04-19,85.7,215.65,512.17
2011-04-20,107.91,273.0,621.95
2011-04-21,88.42,222.67,526.03
2011-04-22,47.08,116.15,300.8
2011-04-23,30.61,73.9,199.75
2011-04-24,78.12,196.07,472.84
2011-04-25,89.86,226.38,533.33
2011-04-26,30.82,74.44,201.1
2011-04-27,4.52,8.71,23.3
2011-04-28,13.0,29.27,81.51
2011-04-29,83.57,210.15,501.22
2011-04-30,92.69,233.68,547.56
2011-05-01,54.9,136.26,346.1
2011-05-02,3.68,6.8,17.94
2011-05-03,54.9,136.26,346.1
2011-05-04,2.93,5.17,13.42
2011-05-05,46.14,113.73,295.25
2011-05-06,98.32,248.21,575.51
2011-05-07,118.11,299.36,669.41
2011-05-08,106.23,268.64,613.9
2011-05-09,58.94,146.65,368.93
2011-05-10,91.89,231.62,543.54
2011-05-11,57.75,143.6,362.26
2011-05-12,57.75,143.6,362.26
2011-05-13,95.45,240.8,561.31
2011-05-14,102.55,259.14,596.18
2011-05-15,58.94,146.65,368.93
2011-05-16,89.86,226.38,533.33
2011-05-17,64.37,160.64,399.07
2011-05-18,84.64,212.91,506.72
2011-05-19,37.38,91.25,242.32
2011-05-20,25.7,61.38,167.91
2011-05-21,82.71,207.93,496.78
2011-05-22,83.36,209.6,500.12
2011-05-23,62.02,154.58,386.08
2011-05-24,63.9,159.43,396.49
2011-05-25,45.67,112.53,292.47
2011-05-26,30.4,73.36,198.4
2011-05-27,30.4,73.36,198.4
2011-05-28,79.44,199.49,479.78
2011-05-29,90.68,228.49,537.44
2011-05-30,54.9,136.26,346.1
2011-05-31,89.04,224.26,529.17
2011-06-01,85.07,214.01,508.91
2011-06-02,93.49,235.74,551.54
2011-06-03,63.43,158.22,393.9
2011-06-04,84.86,213.46,507.82
2011-06-05,103.8,262.36,602.21
2011-06-06,93.09,234.71,549.56
2011-06-07,47.55,117.36,303.57
2011-06-08,71.34,178.6,436.9
2011-06-09,53.71,133.2,339.31
2011-06-10,44.04,108.32,282.72
2011-06-11,99.26,250.64,580.12
2011-06-12,108.08,273.43,622.74
2011-06-13,74.98,187.99,456.32
2011-06-14,67.88,169.67,418.21
2011-06-15,67.18,167.87,414.42
2011-06-16,114.98,291.25,655.06
2011-06-17,122.41,310.49,688.7
2011-06-18,122.41,310.49,688.7
2011-06-19,95.06,239.8,559.38
2011-06-20,65.31,163.06,404.22
2011-06-21,40.34,98.82,260.42
2011-06-22,58.47,145.43,366.26
2011-06-23,72.94,182.73,445.47
2011-06-24,82.5,207.38,495.66
2011-06-25,81.63,205.14,491.17
2011-06-26,59.18,147.26,370.26
