# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=medium (GCR=50%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-1.50C); solar_new = solar_openfield * irradiance_multiplier (0.50); wind_new = wind_openfield * wind_speed_multiplier (0.85). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: medium (ground_coverage_pct=50)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2019-07-03,34.31,23.28,4.26,5.51,0.0,001
2019-07-04,32.71,23.51,4.2,5.74,0.0,001
2019-07-05,31.4,23.59,4.19,6.96,0.0,001
2019-07-06,33.4,22.53,4.26,5.06,0.0,001
2019-07-07,32.19,24.74,4.31,5.42,0.0,001
2019-07-08,31.86,24.08,4.27,4.81,0.0,001
2019-07-09,32.05,24.69,4.3,4.81,0.0,001
2019-07-10,32.31,25.03,4.26,4.73,0.0,001
2019-07-11,32.92,25.05,4.24,3.48,0.0,001
2019-07-12,35.67,25.9,4.14,2.92,0.0,001
2019-07-13,34.02,26.93,4.16,4.88,0.0,001
2019-07-14,32.28,24.29,4.26,4.53,0.0,001
2019-07-15,32.23,24.47,4.23,5.58,0.0,001
2019-07-16,34.34,24.93,4.16,4.16,0.0,001
2019-07-17,38.49,27.86,3.83,1.54,0.0,001
2019-07-18,35.29,28.32,3.8,5.03,0.0,001
2019-07-19,33.05,26.78,4.11,6.33,0.0,001
2019-07-20,32.47,25.85,4.11,7.06,0.0,001
2019-07-21,30.58,23.87,4.1,7.17,0.0,001
2019-07-22,31.66,23.25,4.07,5.52,0.0,001
2019-07-23,33.12,25.01,4.04,4.42,0.0,001
2019-07-24,33.04,26.11,4.08,3.3,0.0,001
2019-07-25,33.13,25.03,4.06,5.12,0.0,001
2019-07-26,32.77,25.23,3.94,6.88,0.0,001
2019-07-27,31.74,25.44,4.08,6.98,0.0,001
2019-07-28,31.22,24.35,3.98,5.22,0.0,001
2019-07-29,32.01,24.74,4.01,4.38,0.0,001
2019-07-30,33.61,25.68,4.06,3.74,0.0,001
2019-07-31,34.19,26.51,4.08,3.01,0.0,001
2019-08-01,34.4,26.51,4.02,4.26,0.0,001
